"party","ame_diff"
"Conservative",-0.00352277344013126
"Labour",-0.00331081121439479
"Conservative",0.00248503056586386
"Labour",0.00720699264928877
"Conservative",-0.00534796506846026
"Labour",-0.00333837823765355
"Conservative",0.00501834674270019
"Labour",0.000385397007951856
"Conservative",0.00356234950196875
"Labour",0.000100599356012051
"Conservative",-0.00609556921514071
"Labour",0.00432235808088137
"Conservative",0.00639775426149926
"Labour",0.0127108538754731
"Conservative",0.00508978596766023
"Labour",0.00698661975945706
"Conservative",0.00219949619879732
"Labour",0.00489945264695526
"Conservative",-0.00328323761472943
"Labour",0.00737864784720035
"Conservative",-0.0029502026425776
"Labour",0.000988894481137379
"Conservative",-0.00285913931386909
"Labour",-9.16458625091531e-05
"Conservative",0.00290203824861777
"Labour",0.00515198984858949
"Conservative",-0.00436712448245105
"Labour",0.00956536978152158
"Conservative",-0.00455724591700832
"Labour",0.0132326181466099
"Conservative",-0.00563503129171107
"Labour",0.0076378295240686
"Conservative",-0.00219603029346711
"Labour",0.00832055207803886
"Conservative",-0.00500503254947427
"Labour",0.0016008061672553
"Conservative",-0.00510199841193513
"Labour",0.000945715218075676
"Conservative",0.00433819980252595
"Labour",-0.00211871945495253
"Conservative",0.00304268569565408
"Labour",0.0074716129479083
"Conservative",-0.00125677090573352
"Labour",0.0104705884065074
"Conservative",-0.0023162719368253
"Labour",-0.00373009760242406
"Conservative",0.00157708883340581
"Labour",0.00511104286953964
"Conservative",-0.00625206053043164
"Labour",0.00765813272606341
"Conservative",-0.00455888630185792
"Labour",0.00146531376488166
"Conservative",-0.00343688301263825
"Labour",0.00538166113070167
"Conservative",0.00307538018791262
"Labour",0.000455045343507709
"Conservative",-0.00485202422682023
"Labour",0.00655419712273828
"Conservative",-0.0113918238024673
"Labour",0.0061817437114368
"Conservative",-0.00412224689174909
"Labour",0.00667540458626776
"Conservative",-0.000199723218177223
"Labour",0.00788642652034013
"Conservative",-0.00460585390263572
"Labour",0.0020943500217687
"Conservative",0.0081412106526585
"Labour",-0.00165010787900708
"Conservative",0.00238769315502283
"Labour",-0.000938621177811657
"Conservative",0.0063818292103526
"Labour",0.000210153732237338
"Conservative",-0.00524658574754501
"Labour",0.00693787676505338
"Conservative",-0.00577647676683078
"Labour",0.0102762876993286
"Conservative",-0.00429355708927283
"Labour",0.000171803640655134
"Conservative",0.00379182341275022
"Labour",0.00767236307800437
"Conservative",0.00150427372804969
"Labour",0.00592673239646955
"Conservative",0.00223258374231575
"Labour",-0.00253780606007146
"Conservative",-0.00705239371345232
"Labour",0.00540419385689245
"Conservative",-0.00582121545309094
"Labour",0.0143170655201972
"Conservative",-0.00033291274554784
"Labour",0.00156625287362679
"Conservative",0.003959071854301
"Labour",0.00277411846479305
"Conservative",0.00190830265977459
"Labour",0.00481239567444169
"Conservative",-0.00065024982647638
"Labour",0.00993375231288348
"Conservative",0.00436722299286513
"Labour",0.00287975765426872
"Conservative",-0.00488834562654879
"Labour",0.0156874604946075
"Conservative",0.00451417939301686
"Labour",0.00141259286841244
"Conservative",0.000309506791927208
"Labour",0.0071958580772114
"Conservative",0.00168760108655313
"Labour",0.0159846932125471
"Conservative",0.00154783076853182
"Labour",0.00160009792694479
"Conservative",0.00198617166521144
"Labour",-0.00189000501823763
"Conservative",0.00124905024809694
"Labour",0.000473009188085407
"Conservative",-0.00959531467718669
"Labour",0.0092828849484164
"Conservative",-0.00751994314750505
"Labour",0.00190485798761874
"Conservative",-0.00247531227759508
"Labour",0.000543069375236779
"Conservative",0.00343922554370383
"Labour",0.00948708403082192
"Conservative",-0.00848868084079771
"Labour",0.00385469656272655
"Conservative",0.00361598865188457
"Labour",0.00528329098150738
"Conservative",-0.00164855569852501
"Labour",0.00995201793153545
"Conservative",-0.000526462915967317
"Labour",0.00143248759782521
"Conservative",-0.00448309063016365
"Labour",-0.000698336853596975
"Conservative",-0.00423237997436727
"Labour",0.00813299197408766
"Conservative",-0.00029980207593192
"Labour",0.0174410064512907
"Conservative",-0.00909503040051247
"Labour",0.00462859687311293
"Conservative",-0.00100857722444409
"Labour",0.00771916401860765
"Conservative",0.00102171779866006
"Labour",0.00833636987735374
"Conservative",-5.09806123756608e-05
"Labour",-0.00190263428786603
"Conservative",0.00406630974835344
"Labour",0.00521200866591478
"Conservative",-0.0015278102776062
"Labour",0.00697931631104783
"Conservative",-0.00553281641230479
"Labour",0.00160928311705396
"Conservative",-0.000146235329650994
"Labour",0.00821197577309472
"Conservative",-0.00311394818635533
"Labour",0.0052228424167135
"Conservative",-0.00639125206969931
"Labour",-0.00716556668619185
"Conservative",0.00203101629889257
"Labour",0.00236098868278702
"Conservative",-0.00779254180778041
"Labour",0.00247217889762146
"Conservative",0.000782316695474797
"Labour",0.000897474421311012
"Conservative",-0.000663620941790893
"Labour",0.000940770185085028
"Conservative",-0.00243168691289654
"Labour",0.0112914760954451
"Conservative",0.00279491470562416
"Labour",0.00943930089192063
"Conservative",-0.00642707679998787
"Labour",0.00958510934125252
"Conservative",-0.00265128498683183
"Labour",3.38592881096375e-06
"Conservative",0.0006468180284558
"Labour",0.00543916682042237
"Conservative",0.00296999810179577
"Labour",0.00287866922380051
"Conservative",0.0110051236883215
"Labour",0.000119861721293277
"Conservative",-0.00195560595727592
"Labour",0.00568248685576825
"Conservative",0.00540505353154664
"Labour",0.0100982168853521
"Conservative",-0.00428311572655208
"Labour",-0.000578737334231913
"Conservative",0.000361824634953703
