"party","ame_diff"
"Labour",-0.013673284582019
"Conservative",0.00367210693670147
"Labour",-0.00616817139694163
"Conservative",-0.0251851823610624
"Labour",-0.0274710956544149
"Conservative",-0.00767554512607399
"Labour",-0.0142658809353353
"Conservative",-0.0455098670312419
"Labour",-0.0329059814804949
"Conservative",-0.0360142046124426
"Labour",-0.0229104047931512
"Conservative",-0.0436558274612215
"Labour",-0.0344037505968165
"Conservative",-0.0170837992137876
"Labour",-0.0240907727105422
"Conservative",-0.0347550152065078
"Labour",-0.0137707787130137
"Conservative",-0.0112223738409357
"Labour",-0.0167496429255558
"Conservative",-0.0194500806659728
"Labour",-0.0271311451589884
"Conservative",-0.0239968527061542
"Labour",-0.0369415789823962
"Conservative",-0.0249479501256879
"Labour",-0.0180535822384511
"Conservative",-0.0255387929062067
"Labour",-0.0299125864692546
"Conservative",0.000678093785304789
"Labour",-0.0167230464833941
"Conservative",-0.0200962246142729
"Labour",-0.0213064164511488
"Conservative",-0.0303261537838433
"Labour",-0.0232723983434498
"Conservative",0.00512821298175953
"Labour",-0.0145462683480402
"Conservative",-0.00619396870571673
"Labour",-0.0131668135736288
"Conservative",-0.0289031517147398
"Labour",-0.0215922321013585
"Conservative",-0.00566232415845454
"Labour",-0.0194040041020843
"Conservative",0.00726701257551259
"Labour",-0.0326380746401069
"Conservative",-0.00301874467976115
"Labour",-0.0201976492150526
"Conservative",-0.0250316281687719
"Labour",-0.022254597098842
"Conservative",-0.0226073616864972
"Labour",-0.0300249243446684
"Conservative",-0.0170012193792536
"Labour",-0.0217407789866344
"Conservative",-0.00154714400670615
"Labour",-0.0135534248608213
"Conservative",-0.00923243693481029
"Labour",-0.0105551791277776
"Conservative",-0.00905667440860502
"Labour",-0.024022721078064
"Conservative",0.00904467233156129
"Labour",-0.0286404233789488
"Conservative",0.00707063982296066
"Labour",-0.00537178926953471
"Conservative",-0.00561008712695296
"Labour",-0.00868988576170014
"Conservative",-0.0195027652873257
"Labour",-0.0434541680681514
"Conservative",-0.0112149376489999
"Labour",-0.0361466854822519
"Conservative",-0.00546878902765375
"Labour",-0.0313210364180142
"Conservative",0.000343940181305171
"Labour",-0.00506545198837345
"Conservative",-0.0229787356727516
"Labour",-0.0317869928158842
"Conservative",-0.0090434363424792
"Labour",-0.0218816692615817
"Conservative",0.0146461104028471
"Labour",-0.00121415436038669
"Conservative",-0.0318600051815985
"Labour",0.000346082486864078
"Conservative",-0.0224531704349675
"Labour",-0.0185821497612854
"Conservative",-0.0131532791428595
"Labour",-0.0188312027656347
"Conservative",-0.0179161189258988
"Labour",-0.0392009743916589
"Conservative",-0.00853840850126643
"Labour",-0.0271160092029001
"Conservative",-0.0353501003387444
"Labour",-0.0314413501277298
"Conservative",0.0247794958512677
"Labour",-0.0156174941070179
"Conservative",-0.0304149170991961
"Labour",-0.0400363419803791
"Conservative",-0.0143051249274808
"Labour",0.00325057685617433
